Drug,Short_Drug,Normal dose,Dose in renal impairment GFR (mL/min)
abacavir,Abacavir,600 mg daily in 1 or 2 divided doses,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
abatacept,Abatacept,"IV: Loading doses: <60 kg: 500 mg, 60–100 kg: 750 mg, >100 kg: 1000 mg repeated 2 and 4 weeks after initial infusion
Then 125 mg weekly (SC) 
Psoriatic arthritis:
125 mg weekly (SC)","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function. Use with caution.
<10	Dose as in normal renal function. Use with caution."
abciximab,Abciximab,IV bolus: 250 mcg/kg then by infusion at 0.125 mcg/ kg/minute for 12 hours after intervention (maximum 10 mcg/minute).,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function. Use with caution. See ‘Other information’."
abiraterone acetate,Abiraterone,1000 mg daily,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
acamprosate calcium,Acamprosate,">60 kg: 666 mg 3 times a day
<60 kg: 666 mg at breakfast, 333 mg at midday and 333 mg at night","30–50	333 mg 3 times daily.
10–30	333 mg twice daily. See 'Other information'.
<10	333 mg once daily. See 'Other information'."
acarbose,Acarbose,50–200 mg 3 times a day,"25–50	Dose as in normal renal function.
10–25	Avoid.
<10	Avoid."
acebutolol,Acebutolol,"Hypertension: 400 mg once a day or 200 mg twice a day, increased after 2 weeks to 400 mg twice daily if necessary
Angina: 400 mg once a day, or 200 mg twice daily initially. Increase up to 300 mg 3 times daily; maximum 1200 mg
Arrhythmias: 400–1200 mg/day (in 2–3 divided doses)","25–50	50% of normal dose, but frequency should not exceed once daily.
10–25	50% of normal dose, but frequency should not exceed once daily.
<10	25–50% of normal dose, but frequency should not exceed once daily."
aceclofenac,Aceclofenac,100 mg twice daily,"20–50	Dose as in normal renal function but use with caution.
10–20	Dose as in normal renal function but avoid if possible.
<10	Dose as in normal renal function but only if on dialysis."
acenocoumarol (nicoumalone),Acenocoumarol,"Initially: 2–4 mg on 1st day without a loading dose;
Loading dose: 6 mg on 1st day then 4 mg on 2nd day
Maintenance dose usually 1–8 mg daily according to INR","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
acenocoumarol (nicoumalone),Nicoumalone,"Initially: 2–4 mg on 1st day without a loading dose;
Loading dose: 6 mg on 1st day then 4 mg on 2nd day
Maintenance dose usually 1–8 mg daily according to INR","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
acetazolamide,Acetazolamide,"Glaucoma / Epilepsy: 0.25–1 g daily in divided doses
Diuretic: 250–375 mg daily","20–50	250 mg up to twice a day.
10–20	250 mg up to twice a day.
<10	Avoid. See 'Other information'."
acetylcysteine,Acetylcysteine,"IV infusion: Dose varies according to patient’s weight. See manufacturer’s information
Renal protection – see 'Other information'
Mucolytic in respiratory disorders: 600 mg (orally) once daily","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function. See 'Other information'."
