,ICD_code,diagnosis
0,Kode,Tekst uten lengdebegrensning
1,A000,"Kolera som skyldes Vibrio cholerae 01, biovar cholerae"
2,A001,"Kolera som skyldes Vibrio cholerae 01, biovar eltor"
3,A009,Uspesifisert kolera
4,A010,Tyfoidfeber
5,A011,Paratyfoidfeber A
6,A012,Paratyfoidfeber B
7,A013,Paratyfoidfeber C
8,A014,Uspesifisert paratyfoidfeber
9,A020,Salmonellaenteritt
10,A021,Salmonellasepsis
11,A022,Lokalisert salmonellainfeksjon
12,A028,Annen spesifisert salmonellainfeksjon
13,A029,Uspesifisert salmonellainfeksjon
14,A030,Shigellose som skyldes Shigella dysenteriae
15,A031,Shigellose som skyldes Shigella flexneri
16,A032,Shigellose som skyldes Shigella boydii
17,A033,Shigellose som skyldes Shigella sonnei
18,A038,Annen spesifisert shigellose
19,A039,Uspesifisert shigellose
20,A040,Infeksjon som skyldes enteropatogen Escherichia coli
21,A041,Infeksjon som skyldes enterotoksigen Escherichia coli
22,A042,Infeksjon som skyldes enteroinvasiv Escherichia coli
23,A043,Infeksjon som skyldes enterohemoragisk Escherichia coli
24,A044,Annen tarminfeksjon som skyldes Escherichia coli
25,A045,Enteritt som skyldes Campylobacter
26,A046,Enteritt som skyldes Yersinia enterocolitica
27,A047,Enterokolitt som skyldes Clostridium difficile
28,A048,Annen spesifisert bakteriell tarminfeksjon
29,A049,Uspesifisert bakteriell tarminfeksjon
30,A050,Matforgiftning som skyldes Staphylococcus
31,A051,Botulisme
32,A052,Matforgiftning som skyldes Clostridium perfringens
33,A053,Matforgiftning som skyldes Vibrio parahaemolyticus
34,A054,Matforgiftning som skyldes Bacillus cereus
35,A058,Annen spesifisert bakteriell matforgiftning
36,A059,Uspesifisert bakteriell matforgiftning
37,A060,Akutt amøbedysenteri
38,A061,Kronisk amøbeinfeksjon i tarmkanalen
39,A062,Amøbekolitt uten dysenteri
40,A063,Amøbom i tarmkanalen
41,A064,Amøbeabscess i lever
42,A065,Amøbeabscess i lunge
43,A066,Amøbeabscess i hjerne
44,A067,Amøbeinfeksjon i hud
45,A068,Amøbeinfeksjon med annen spesifisert lokalisasjon
46,A069,Uspesifisert amøbeinfeksjon
47,A070,Balantidiasis
48,A071,Infeksjon som skyldes Giardia lamblia
49,A072,Cryptosporidiosis
50,A073,Isosporiasis
51,A078,Annen spesifisert protozosykdom i tarmkanalen
52,A079,Uspesifisert protozosykdom i tarmkanalen
53,A080,Rotavirusenteritt
54,A081,Akutt gastroenteritt som skyldes norovirus
55,A082,Adenovirusenteritt
56,A083,Annen virusenteritt
57,A084,Uspesifisert virusinfeksjon i mage-tarmkanalen
58,A085,Annen spesifisert mage-tarminfeksjon
59,A090,Annen eller uspesifisert gastroenteritt eller kolitt av infeksiøs årsak
60,A099,Gastroenteritt eller kolitt av uspesifisert årsak
61,A150,Lungetuberkulose bekreftet ved mikroskopi av sputum med eller uten kultur
62,A151,Lungetuberkulose som kun er bekreftet ved kultur
63,A152,Histologisk bekreftet lungetuberkulose
64,A153,Lungetuberkulose som er bekreftet på ikke angitt måte
65,A154,Tuberkulose i intratorakal lymfeknute som er bekreftet bakteriologisk eller histologisk
66,A155,"Tuberkulose i strupehode, glottis, luftrør eller bronkie som er bekreftet bakteriologisk eller histologisk"
67,A156,Tuberkuløs pleuritt som er bekreftet bakteriologisk eller histologisk
68,A157,Primær tuberkulose i åndedrettsorgan som er bekreftet bakteriologisk eller histologisk
69,A158,Tuberkulose i annet spesifisert åndedrettsorgan som er bekreftet bakteriologisk eller histologisk
70,A159,Tuberkulose i uspesifisert åndedrettsorgan som er bekreftet bakteriologisk eller histologisk
71,A160,Lungetuberkulose som bakteriologisk og histologisk er negativ
72,A161,Lungetuberkulose uten utført bakteriologisk eller histologisk undersøkelse
73,A162,Lungetuberkulose uten nevnt bakteriologisk eller histologisk bekreftelse
74,A163,"Tuberkulose i intratorakal lymfeknute, uten nevnt bakteriologisk eller histologisk bekreftelse"
75,A164,"Tuberkulose i strupehode, luftrør eller bronkie, uten nevnt bakteriologisk eller histologisk bekreftelse"
76,A165,Tuberkuløs pleuritt uten nevnt bakteriologisk eller histologisk bekreftelse
77,A167,"Primær tuberkulose i åndedrettsorgan, uten nevnt bakteriologisk eller histologisk bekreftelse"
78,A168,"Tuberkulose i annet spesifisert åndedrettsorgan, uten nevnt bakteriologisk eller histologisk bekreftelse"
79,A169,"Tuberkulose i uspesifisert åndedrettsorgan, uten nevnt bakteriologisk eller histologisk bekreftelse"
80,A170,Tuberkuløs meningitt
81,A171,Meningealt tuberkulom
82,A178,Annen spesifisert tuberkulose i nervesystemet
83,A179,Uspesifisert tuberkulose i nervesystemet
84,A180,Tuberkulose i ben eller ledd
85,A181,Tuberkulose i urin- eller kjønnsorganer
86,A182,Tuberkuløs sykdom i perifer lymfeknute
87,A183,"Tuberkulose i tarm, bukhinne eller lymfeknute i mesenterium"
88,A184,Tuberkulose i hud eller underhudsvev
89,A185,Tuberkulose i øye
90,A186,Tuberkulose i øre
91,A187,Tuberkulose i binyre
92,A188,Tuberkulose i annet spesifisert organ
93,A190,Akutt miliærtuberkulose i én enkelt spesifisert lokalisasjon
94,A191,Akutt miliærtuberkulose i flere lokalisasjoner
95,A192,Akutt miliærtuberkulose i uspesifisert lokalisasjon
96,A198,Annen spesifisert miliærtuberkulose
97,A199,Uspesifisert miliærtuberkulose
98,A200,Bubonpest
99,A201,Hudpest
100,A202,Lungepest
101,A203,Pestmeningitt
102,A207,Sepsispest
103,A208,Annen spesifisert pest
104,A209,Uspesifisert pest
105,A210,Ulceroglandulær tularemi
106,A211,Okuloglandulær tularemi
107,A212,Pulmonal tularemi
108,A213,Gastrointestinal tularemi
109,A217,Generalisert tularemi
110,A218,Annen spesifisert tularemi
111,A219,Uspesifisert tularemi
112,A220,Hudmiltbrann
113,A221,Lungemiltbrann
114,A222,Gastrointestinal miltbrann
115,A227,Miltbrannsepsis
116,A228,Annen spesifisert miltbrann
117,A229,Uspesifisert miltbrann
118,A230,Brucellose som skyldes Brucella melitensis
119,A231,Brucellose som skyldes Brucella abortus
120,A232,Brucellose som skyldes Brucella suis
121,A233,Brucellose som skyldes Brucella canis
122,A238,Annen spesifisert brucellose
123,A239,Uspesifisert brucellose
124,A240,Snive
125,A241,Akutt eller fulminant melioidose
126,A242,Subakutt eller kronisk melioidose
127,A243,Annen melioidose
128,A244,Uspesifisert melioidose
129,A250,Spirillose
130,A251,Streptobasillose
131,A259,Uspesifisert rottebittfeber
132,A260,Kutan erysipeloid
133,A267,Sepsis som skyldes Erysipelothrix
134,A268,Annen spesifisert erysipeloid
135,A269,Uspesifisert erysipeloid
136,A270,Leptospirosis icterohaemorrhagica
137,A278,Annen spesifisert leptospirose
138,A279,Uspesifisert leptospirose
139,A280,Pasteurellose
140,A281,Katteklorfeber
141,A282,Ekstraintestinal yersiniose
142,A288,Annen spesifisert bakteriell zoonose ikke klassifisert annet sted
143,A289,Uspesifisert bakteriell zoonose
144,A300,Ubestemt lepra
145,A301,Tuberkuloid lepra
146,A302,Tuberkuloid lepra av grensetype
147,A303,Lepra av grensetype
148,A304,Lepromatøs lepra av grensetype
149,A305,Lepromatøs lepra
150,A308,Annen spesifisert lepra
151,A309,Uspesifisert lepra
152,A310,Mykobakteriell lungeinfeksjon
153,A311,Mykobakteriell hudinfeksjon
154,A318,Annen spesifisert infeksjon som skyldes mykobakterie
155,A319,Uspesifisert infeksjon som skyldes mykobakterie
156,A320,Hudlisteriose
157,A321,Meningitt eller meningoencefalitt som skyldes Listeria
158,A327,Listeriasepsis
159,A328,Annen spesifisert listeriose
160,A329,Uspesifisert listeriose
161,A33,Stivkrampe hos nyfødt
162,A34,Stivkrampe etter fødsel
163,A35,Annen stivkrampe
164,A360,Svelgdifteri
165,A361,Difteri i nasopharynx
166,A362,Larynksdifteri
167,A363,Kutan difteri
168,A368,Annen spesifisert difteri
169,A369,Uspesifisert difteri
170,A370,Kikhoste som skyldes Bordetella pertussis
171,A371,Kikhoste som skyldes Bordetella parapertussis
172,A378,Kikhoste som skyldes annen spesifisert bordetella-art
173,A379,Uspesifisert kikhoste
174,A38,Skarlagensfeber
175,A390,Meningokokkmeningitt
176,A391,Waterhouse-Friderichsens syndrom
177,A392,Akutt meningokokkemi
178,A393,Kronisk meningokokkemi
179,A394,Uspesifisert meningokokkemi
180,A395,Hjertesykdom forårsaket av Meningococcus
181,A398,Annen spesifisert meningokokkinfeksjon
182,A399,Uspesifisert meningokokkinfeksjon
183,A400,Sepsis som skyldes Streptococcus serogruppe A
184,A401,Sepsis som skyldes Streptococcus serogruppe B
185,A402,"Sepsis som skyldes Streptococcus, serogruppe D og enterococcus"
186,A403,Sepsis som skyldes Streptococcus pneumoniae
187,A408,Annen spesifisert streptokokksepsis
188,A409,Uspesifisert streptokokksepsis
189,A410,Sepsis som skyldes Staphylococcus aureus
190,A411,Sepsis som skyldes annen spesifisert stafylokokk
191,A412,Sepsis som skyldes uspesifisert stafylokokk
192,A413,Sepsis som skyldes Haemophilus influenzae
193,A414,Sepsis som skyldes anaerob bakterie
194,A415,Sepsis som skyldes annen gram-negativ organisme
195,A418,Annen spesifisert sepsis
196,A419,Uspesifisert sepsis
197,A420,Pulmonal aktinomykose
198,A421,Abdominal aktinomykose
199,A422,Cervikofacial aktinomykose
200,A427,Aktinomykotisk sepsis
201,A428,Annen spesifisert aktinomykose
202,A429,Uspesifisert aktinomykose
203,A430,Pulmonal nokardiose
204,A431,Kutan nokardiose
205,A438,Annen spesifisert nokardiose
206,A439,Uspesifisert nokardiose
207,A440,Systemisk bartonellose
208,A441,Kutan eller mukokutan bartonellose
209,A448,Annen spesifisert bartonellose
210,A449,Uspesifisert bartonellose
211,A46,Erysipelas
212,A480,Gassgangren
213,A481,Legionærsykdom
214,A482,Legionærsykdom uten pneumoni
215,A483,Toksisk sjokksyndrom
216,A484,Brasiliansk purpura fulminans
217,A488,Annen spesifisert bakteriesykdom
218,A490,Stafylokokkinfeksjon med uspesifisert lokalisasjon
219,A491,Streptokokk- eller enterokokkinfeksjon med uspesifisert lokalisasjon
220,A492,"Infeksjon med uspesifisert lokalisasjon, som skyldes Haemophilus influenzae"
221,A493,Mykoplasmainfeksjon med uspesifisert lokalisasjon
222,A498,Annen bakterieinfeksjon med uspesifisert lokalisasjon
223,A499,Uspesifisert bakterieinfeksjon
224,A500,Symptomgivende medfødt tidlig syfilis
225,A501,Latent medfødt tidlig syfilis
226,A502,Uspesifisert medfødt tidlig syfilis
227,A503,Øyesykdom ved medfødt sen syfilis
228,A504,Medfødt nevrosyfilis
229,A505,Annen medfødt sen syfilis med symptomer eller stigmata
230,A506,Latent medfødt sen syfilis
231,A507,Uspesifisert medfødt sen syfilis
232,A509,Uspesifisert medfødt syfilis
233,A510,Primær genital syfilis
234,A511,Primær anal syfilis
235,A512,Primær syfilis med annen lokalisasjon
236,A513,Sekundær syfilis i hud eller slimhinner
237,A514,Annen sekundær syfilis
238,A515,Tidlig latent syfilis
239,A519,Uspesifisert tidlig syfilis
240,A520,Kardiovaskulær syfilis
241,A521,Symptomgivende nevrosyfilis
242,A522,Asymptomatisk nevrosyfilis
243,A523,Uspesifisert nevrosyfilis
244,A527,Annen symptomgivende sensyfilis
245,A528,Latent sensyfilis
246,A529,Uspesifisert sensyfilis
247,A530,Latent syfilis der debuttidspunkt ikke er spesifisert
248,A539,Uspesifisert syfilis
249,A540,Gonokokkinfeksjon i nedre urogenitalsystem uten periuretral abscess eller abscess i tilliggende kjertel
250,A541,Gonokokkinfeksjon i nedre urogenitalsystem med periuretral abscess eller abscess i tilliggende kjertel
251,A542,Gonokokkpelviperitonitt eller annen gonokokkinfeksjon i kjønnsorgan eller urinveier
252,A543,Gonokokkinfeksjon i øye
253,A544,Gonokokkinfeksjon i muskel-skjelettsystem
254,A545,Gonokokkfaryngitt
255,A546,Gonokokkinfeksjon i endetarmsåpning eller endetarm
256,A548,Annen spesifisert gonokokkinfeksjon
257,A549,Uspesifisert gonokokkinfeksjon
258,A55,Klamydialymfogranulom
259,A560,Klamydiainfeksjon i nedre urogenitalsystem
260,A561,Klamydiainfeksjon i urin- eller kjønnsorganer eller pelviperitoneum
261,A562,Uspesifisert klamydiainfeksjon i kjønnsorganer eller urinveier
262,A563,"Klamydiainfeksjon i endetarmsåpning, analkanal eller endetarm"
263,A564,Klamydiainfeksjon i svelg
264,A568,Seksuelt overført klamydiainfeksjon med annen spesifisert lokalisasjon
265,A57,Bløt sjanker
266,A58,Granuloma inguinale
267,A590,Urogenital trikomonasinfeksjon
268,A598,Trikomonasinfeksjon med annen spesifisert lokalisasjon
269,A599,Uspesifisert trikomonasinfeksjon
270,A600,Herpesvirusinfeksjon i kjønnsorganer eller urinveier
271,A601,"Herpesvirusinfeksjon i hud omkring endetarmsåpning, i analkanal eller endetarm"
272,A609,Uspesifisert anogenital herpesvirusinfeksjon
273,A630,Anogenital venerisk vorte
274,A638,Annen spesifisert hovedsakelig seksuelt overførbar sykdom
275,A64,Uspesifisert seksuelt overførbar sykdom
276,A65,Ikke-venerisk syfilis
277,A660,Primær lesjon ved «yaws»
278,A661,Multiple papillomer og «wet crab yaws»
279,A662,Annen tidlig hudlesjon ved «yaws»
280,A663,Hyperkeratose ved «yaws»
281,A664,Gumma eller ulcus ved «yaws»
282,A665,Gangosa
283,A666,Knokkel- eller leddlesjon ved «yaws»
284,A667,Annen manifestasjon ved «yaws»
285,A668,Latent «yaws»
286,A669,Uspesifisert «yaws»
287,A670,Primær lesjon ved pinta
288,A671,Intermediær lesjon ved pinta
289,A672,Sen lesjon ved pinta
290,A673,Blandet lesjon ved pinta
291,A679,Uspesifisert pinta
292,A680,Tilbakefallsfeber overført ved lus
293,A681,Tilbakefallsfeber overført ved flått
294,A689,Uspesifisert tilbakefallsfeber
295,A690,Nekrotiserende ulcerøs stomatitt
296,A691,Annen Vincent-infeksjon
297,A692,Borreliose
298,A698,Annen spesifisert spiroketinfeksjon
